10,95,140042416357.633
10,98,140042416357.633
30,95,1021.184
30,98,1021.184
50,95,1416.175
50,98,1418.994
70,95,2161.101
70,98,2164.922
90,95,2637.384
90,98,2687.979
110,95,3523.533
110,98,3576.572
130,95,3598.232
130,98,3677.909
150,95,4523.640
150,98,4643.354
170,95,5081.690
170,98,5252.503
190,95,5525.346
190,98,5672.041
210,95,6290.970
210,98,6416.536
230,95,6698.040
230,98,6896.568
250,95,7411.950
250,98,7645.995
270,95,7905.975
270,98,8090.671
290,95,8308.879
290,98,8555.138
310,95,9350.600
310,98,9568.364
330,95,9474.078
330,98,9772.835
350,95,10047.193
350,98,10388.977
370,95,10707.277
370,98,11092.787
390,95,10590.439
390,98,10850.036

